year,level_1,level_2,level_3,level_4,value
2015,Total,Total,Central Water Catchment- Total,Central Water Catchment,10
2015,Total,Total,Changi- Total,Changi Point,790
2015,Total,Total,Changi- Total,Changi West,1740
2015,Total,Total,Choa Chu Kang- Total,Choa Chu Kang Central,21400
2015,Total,Total,Choa Chu Kang- Total,Choa Chu Kang North,34380
2015,Total,Total,Choa Chu Kang- Total,Keat Hong,15660
2015,Total,Total,Choa Chu Kang- Total,Peng Siang,32130
2015,Total,Total,Choa Chu Kang- Total,Teck Whye,27040
2015,Total,Total,Choa Chu Kang- Total,Yew Tee,43710
2015,Total,Total,Clementi- Total,Clementi Central,13490
2015,Total,Total,Clementi- Total,Clementi North,28730
2015,Total,Total,Clementi- Total,Clementi West,16470
2015,Total,Total,Clementi- Total,Clementi Woods,16400
2015,Total,Total,Clementi- Total,Faber,4320
2015,Total,Total,Clementi- Total,Pandan,10
2015,Total,Total,Clementi- Total,Sunset Way,6290
2015,Total,Total,Clementi- Total,Toh Tuck,40
2015,Total,Total,Clementi- Total,West Coast,5890
2015,Total,Total,Downtown Core- Total,Anson,80
2015,Total,Total,Downtown Core- Total,Bugis,2330
2015,Total,Total,Downtown Core- Total,Cecil,160
2015,Total,Total,Downtown Core- Total,Central Subzone,480
2015,Total,Total,Downtown Core- Total,City Hall,60
2015,Total,Total,Downtown Core- Total,Marina Centre,20
2015,Total,Total,Downtown Core- Total,Raffles Place,60
2015,Total,Total,Downtown Core- Total,Tanjong Pagar,520
2015,Total,Total,Geylang- Total,Aljunied,41710
2015,Total,Total,Geylang- Total,Geylang East,33380
2015,Total,Total,Geylang- Total,Kallang Way,40
2015,Total,Total,Geylang- Total,Kampong Ubi,13210
2015,Total,Total,Geylang- Total,Macpherson,28630
2015,Total,Total,Hougang- Total,Defu Industrial Park,20
2015,Total,Total,Hougang- Total,Hougang Central,4830
2015,Total,Total,Hougang- Total,Hougang East,21940
2015,Total,Total,Hougang- Total,Hougang West,50120
2015,Total,Total,Hougang- Total,Kangkar,26080
2015,Total,Total,Hougang- Total,Kovan,25640
2015,Total,Total,Hougang- Total,Lorong Ah Soo,34180
2015,Total,Total,Hougang- Total,Tai Seng,14700
2015,Total,Total,Hougang- Total,Trafalgar,44800
2015,Total,Total,Jurong East- Total,International Business Park,10
2015,Total,Total,Jurong East- Total,Jurong Gateway,20
2015,Total,Total,Jurong East- Total,Jurong Port,10
2015,Total,Total,Jurong East- Total,Jurong River,10
2015,Total,Total,Jurong East- Total,Lakeside,1010
2015,Total,Total,Jurong East- Total,Penjuru Crescent,10
2015,Total,Total,Jurong East- Total,Teban Gardens,19080
2015,Total,Total,Jurong East- Total,Toh Guan,16510
2015,Total,Total,Jurong East- Total,Yuhua East,27460
2015,Total,Total,Jurong East- Total,Yuhua West,20870
2015,Total,Total,Jurong West- Total,Boon Lay Place,31100
2015,Total,Total,Jurong West- Total,Hong Kah,56870
2015,Total,Total,Jurong West- Total,Jurong West Central,68200
2015,Total,Total,Jurong West- Total,Kian Teck,50
2015,Total,Total,Jurong West- Total,Taman Jurong,36940
2015,Total,Total,Jurong West- Total,Wenya,8610
2015,Total,Total,Jurong West- Total,Yunnan,70890
2015,Total,Total,Kallang- Total,Bendemeer,33830
2015,Total,Total,Kallang- Total,Boon Keng,10970
2015,Total,Total,Kallang- Total,Crawford,9740
2015,Total,Total,Kallang- Total,Geylang Bahru,12870
2015,Total,Total,Kallang- Total,Kallang Bahru,30
2015,Total,Total,Kallang- Total,Kampong Bugis,890
2015,Total,Total,Kallang- Total,Kampong Java,11260
2015,Total,Total,Kallang- Total,Lavender,10320
2015,Total,Total,Kallang- Total,Tanjong Rhu,11310
2015,Total,Total,Lim Chu Kang- Total,Lim Chu Kang,90
2015,Total,Total,Mandai- Total,Mandai Estate,2120
2015,Total,Total,Marine Parade- Total,Katong,9620
2015,Total,Total,Marine Parade- Total,Marine Parade,28910
2015,Total,Total,Marine Parade- Total,Mountbatten,10210
2015,Total,Total,Museum- Total,Bras Basah,10
2015,Total,Total,Museum- Total,Dhoby Ghaut,210
2015,Total,Total,Museum- Total,Fort Canning,160
2015,Total,Total,Newton- Total,Cairnhill,3330
2015,Total,Total,Newton- Total,Goodwood Park,910
2015,Total,Total,Newton- Total,Istana Negara,40
2015,Total,Total,Newton- Total,Monk's Hill,980
2015,Total,Total,Newton- Total,Newton Circus,230
2015,Total,Total,Newton- Total,Orange Grove,1440
2015,Total,Total,North-Eastern Islands- Total,North-Eastern Islands,60
2015,Total,Total,Novena- Total,Balestier,32340
2015,Total,Total,Novena- Total,Dunearn,3900
2015,Total,Total,Novena- Total,Malcolm,2630
2015,Total,Total,Novena- Total,Moulmein,8470
2015,Total,Total,Novena- Total,Mount Pleasant,650
2015,Total,Total,Orchard- Total,Boulevard,400
2015,Total,Total,Orchard- Total,Somerset,130
2015,Total,Total,Orchard- Total,Tanglin,390
2015,Total,Total,Outram- Total,China Square,1590
2015,Total,Total,Outram- Total,Chinatown,11880
2015,Total,Total,Outram- Total,Pearl's Hill,8230
2015,Total,Total,Outram- Total,People's Park,390
2015,Total,Total,Pasir Ris- Total,Flora Drive,12950
2015,Total,Total,Pasir Ris- Total,Loyang East,2190
2015,Total,Total,Pasir Ris- Total,Loyang West,200
2015,Total,Total,Pasir Ris- Total,Pasir Ris Central,25730
2015,Total,Total,Pasir Ris- Total,Pasir Ris Drive,59480
2015,Total,Total,Pasir Ris- Total,Pasir Ris Park,2980
2015,Total,Total,Pasir Ris- Total,Pasir Ris Wafer Fab Park,20
2015,Total,Total,Pasir Ris- Total,Pasir Ris West,36330
2015,Total,Total,Paya Lebar- Total,Paya Lebar East,10
2015,Total,Total,Paya Lebar- Total,Paya Lebar North,20
2015,Total,Total,Pioneer- Total,Gul Basin,20
2015,Total,Total,Pioneer- Total,Gul Circle,30
2015,Total,Total,Pioneer- Total,Joo Koon,40
2015,Total,Total,Punggol- Total,Matilda,30440
2015,Total,Total,Punggol- Total,Northshore,280
2015,Total,Total,Punggol- Total,Punggol Field,43300
2015,Total,Total,Punggol- Total,Punggol Town Centre,7390
2015,Total,Total,Punggol- Total,Waterway East,28340
2015,Total,Total,Queenstown- Total,Commonwealth,8130
2015,Total,Total,Queenstown- Total,Dover,13200
2015,Total,Total,Queenstown- Total,Ghim Moh,11900
2015,Total,Total,Queenstown- Total,Holland Drive,14230
2015,Total,Total,Queenstown- Total,Kent Ridge,1080
2015,Total,Total,Queenstown- Total,Margaret Drive,10520
2015,Total,Total,Queenstown- Total,Mei Chin,16750
2015,Total,Total,Queenstown- Total,National University of S'pore,360
2015,Total,Total,Queenstown- Total,One North,620
2015,Total,Total,Queenstown- Total,Pasir Panjang 1,4010
2015,Total,Total,Queenstown- Total,Pasir Panjang 2,3520
2015,Total,Total,Queenstown- Total,Port,140
2015,Total,Total,Queenstown- Total,Queensway,280
2015,Total,Total,Queenstown- Total,Singapore Polytechnic,160
2015,Total,Total,Queenstown- Total,Tanglin Halt,13160
2015,Total,Total,River Valley- Total,Institution Hill,3380
2015,Total,Total,River Valley- Total,Leonie Hill,2450
2015,Total,Total,River Valley- Total,One Tree Hill,1840
2015,Total,Total,River Valley- Total,Oxley,1380
2015,Total,Total,River Valley- Total,Paterson,150
2015,Total,Total,Rochor- Total,Bencoolen,1460
2015,Total,Total,Rochor- Total,Farrer Park,3130
2015,Total,Total,Rochor- Total,Kampong Glam,170
2015,Total,Total,Rochor- Total,Little India,3850
2015,Total,Total,Rochor- Total,Mackenzie,110
2015,Total,Total,Rochor- Total,Mount Emily,1110
2015,Total,Total,Rochor- Total,Rochor Canal,10
2015,Total,Total,Rochor- Total,Selegie,270
2015,Total,Total,Rochor- Total,Sungei Road,2420
2015,Total,Total,Rochor- Total,Victoria,2060
2015,Total,Total,Seletar- Total,Seletar,260
2015,Total,Total,Seletar- Total,Seletar Aerospace Park,20
2015,Total,Total,Sembawang- Total,Admiralty,14410
2015,Total,Total,Sembawang- Total,Sembawang Central,29140
2015,Total,Total,Sembawang- Total,Sembawang East,90
2015,Total,Total,Sembawang- Total,Sembawang North,26860
2015,Total,Total,Sembawang- Total,Sembawang Springs,4290
2015,Total,Total,Sembawang- Total,Sembawang Straits,1700
2015,Total,Total,Sembawang- Total,Senoko North,20
2015,Total,Total,Sembawang- Total,Senoko South,20
2015,Total,Total,Sengkang- Total,Anchorvale,38040
2015,Total,Total,Sengkang- Total,Compassvale,18510
2015,Total,Total,Sengkang- Total,Fernvale,35590
2015,Total,Total,Sengkang- Total,Rivervale,59860
2015,Total,Total,Sengkang- Total,Sengkang Town Centre,54680
2015,Total,Total,Sengkang- Total,Sengkang West,10
2015,Total,Total,Serangoon- Total,Lorong Chuan,8390
2015,Total,Total,Serangoon- Total,Seletar Hills,13580
2015,Total,Total,Serangoon- Total,Serangoon Central,26480
2015,Total,Total,Serangoon- Total,Serangoon Garden,39180
2015,Total,Total,Serangoon- Total,Serangoon North,17490
2015,Total,Total,Serangoon- Total,Serangoon North Ind Estate,20
2015,Total,Total,Serangoon- Total,Upper Paya Lebar,15540
2015,Total,Total,Singapore River- Total,Boat Quay,180
2015,Total,Total,Singapore River- Total,Clarke Quay,130
2015,Total,Total,Singapore River- Total,Robertson Quay,2420
2015,Total,Total,Southern Islands- Total,Sentosa,1470
2015,Total,Total,Sungei Kadut- Total,Gali Batu,130
2015,Total,Total,Sungei Kadut- Total,Kranji,20
2015,Total,Total,Sungei Kadut- Total,Pang Sua,20
2015,Total,Total,Sungei Kadut- Total,Reservoir View,20
2015,Total,Total,Sungei Kadut- Total,Turf Club,660
2015,Total,Total,Tampines- Total,Simei,42710
2015,Total,Total,Tampines- Total,Tampines East,138500
2015,Total,Total,Tampines- Total,Tampines West,78110
2015,Total,Total,Tampines- Total,Xilin,1920
2015,Total,Total,Tanglin- Total,Chatsworth,5740
2015,Total,Total,Tanglin- Total,Nassim,8340
2015,Total,Total,Tanglin- Total,Ridout,1400
2015,Total,Total,Tanglin- Total,Tyersall,3520
2015,Total,Total,Tengah- Total,Tengah,10
2015,Total,Total,Toa Payoh- Total,Bidadari,10
2015,Total,Total,Toa Payoh- Total,Boon Teck,15110
2015,Total,Total,Toa Payoh- Total,Braddell,10760
2015,Total,Total,Toa Payoh- Total,Joo Seng,6720
2015,Total,Total,Toa Payoh- Total,Kim Keat,8610
2015,Total,Total,Toa Payoh- Total,Lorong 8 Toa Payoh,8220
2015,Total,Total,Toa Payoh- Total,Pei Chun,11780
2015,Total,Total,Toa Payoh- Total,Potong Pasir,12650
2015,Total,Total,Toa Payoh- Total,Sennett,4540
2015,Total,Total,Toa Payoh- Total,Toa Payoh Central,30740
2015,Total,Total,Toa Payoh- Total,Toa Payoh West,13360
2015,Total,Total,Toa Payoh- Total,Woodleigh,2440
2015,Total,Total,Tuas- Total,Tuas Bay,20
2015,Total,Total,Tuas- Total,Tuas North,20
2015,Total,Total,Tuas- Total,Tuas Promenade,10
2015,Total,Total,Tuas- Total,Tuas View,10
2015,Total,Total,Western Water Catchment- Total,Western Water Catchment,900
2015,Total,Total,Woodlands- Total,Greenwood Park,70
2015,Total,Total,Woodlands- Total,Midview,35510
2015,Total,Total,Woodlands- Total,North Coast,14610
2015,Total,Total,Woodlands- Total,Senoko West,20
2015,Total,Total,Woodlands- Total,Woodgrove,35850
2015,Total,Total,Woodlands- Total,Woodlands East,95510
2015,Total,Total,Woodlands- Total,Woodlands South,35840
2015,Total,Total,Woodlands- Total,Woodlands West,32890
2015,Total,Total,Yishun- Total,Khatib,10850
2015,Total,Total,Yishun- Total,Lower Seletar,2870
2015,Total,Total,Yishun- Total,Nee Soon,900
2015,Total,Total,Yishun- Total,Northland,30380
2015,Total,Total,Yishun- Total,Springleaf,3880
2015,Total,Total,Yishun- Total,Yishun Central,1490
2015,Total,Total,Yishun- Total,Yishun East,54880
2015,Total,Total,Yishun- Total,Yishun South,38840
2015,Total,Total,Yishun- Total,Yishun West,57890
2015,Total,0 - 4,Ang Mo Kio- Total,Ang Mo Kio Town Centre,260
2015,Total,0 - 4,Ang Mo Kio- Total,Cheng San,1290
2015,Total,0 - 4,Ang Mo Kio- Total,Chong Boon,910
2015,Total,0 - 4,Ang Mo Kio- Total,Kebun Bahru,780
2015,Total,0 - 4,Ang Mo Kio- Total,Sembawang Hills,200
2015,Total,0 - 4,Ang Mo Kio- Total,Shangri-La,750
2015,Total,0 - 4,Ang Mo Kio- Total,Tagore,330
2015,Total,0 - 4,Ang Mo Kio- Total,Townsville,1140
2015,Total,0 - 4,Ang Mo Kio- Total,Yio Chu Kang East,150
2015,Total,0 - 4,Ang Mo Kio- Total,Yio Chu Kang West,990
2015,Total,0 - 4,Bedok- Total,Bayshore,440
2015,Total,0 - 4,Bedok- Total,Bedok North,3290
2015,Total,0 - 4,Bedok- Total,Bedok Reservoir,1240
2015,Total,0 - 4,Bedok- Total,Bedok South,2030
2015,Total,0 - 4,Bedok- Total,Frankel,1600
2015,Total,0 - 4,Bedok- Total,Kaki Bukit,1450
2015,Total,0 - 4,Bedok- Total,Kembangan,1440
2015,Total,0 - 4,Bedok- Total,Siglap,210
2015,Total,0 - 4,Bishan- Total,Bishan East,1040
2015,Total,0 - 4,Bishan- Total,Marymount,1390
2015,Total,0 - 4,Bishan- Total,Upper Thomson,1000
2015,Total,0 - 4,Bukit Batok- Total,Bukit Batok Central,1020
2015,Total,0 - 4,Bukit Batok- Total,Bukit Batok East,500
2015,Total,0 - 4,Bukit Batok- Total,Bukit Batok South,520
2015,Total,0 - 4,Bukit Batok- Total,Bukit Batok West,590
2015,Total,0 - 4,Bukit Batok- Total,Gombak,590
2015,Total,0 - 4,Bukit Batok- Total,Guilin,570
2015,Total,0 - 4,Bukit Batok- Total,Hillview,640
2015,Total,0 - 4,Bukit Batok- Total,Hong Kah North,1080
2015,Total,0 - 4,Bukit Merah- Total,Alexandra Hill,590
2015,Total,0 - 4,Bukit Merah- Total,Alexandra North,70
2015,Total,0 - 4,Bukit Merah- Total,Bukit Ho Swee,740
2015,Total,0 - 4,Bukit Merah- Total,Bukit Merah,50
2015,Total,0 - 4,Bukit Merah- Total,Depot Road,300
2015,Total,0 - 4,Bukit Merah- Total,Everton Park,410
2015,Total,0 - 4,Bukit Merah- Total,Henderson Hill,540
2015,Total,0 - 4,Bukit Merah- Total,Kampong Tiong Bahru,350
2015,Total,0 - 4,Bukit Merah- Total,Maritime Square,190
2015,Total,0 - 4,Bukit Merah- Total,Redhill,760
2015,Total,0 - 4,Bukit Merah- Total,Telok Blangah Drive,670
2015,Total,0 - 4,Bukit Merah- Total,Telok Blangah Rise,450
2015,Total,0 - 4,Bukit Merah- Total,Telok Blangah Way,460
2015,Total,0 - 4,Bukit Merah- Total,Tiong Bahru,690
2015,Total,0 - 4,Bukit Merah- Total,Tiong Bahru Station,940
2015,Total,0 - 4,Bukit Panjang- Total,Bangkit,810
2015,Total,0 - 4,Bukit Panjang- Total,Dairy Farm,220
2015,Total,0 - 4,Bukit Panjang- Total,Fajar,1730
2015,Total,0 - 4,Bukit Panjang- Total,Jelebu,1230
2015,Total,0 - 4,Bukit Panjang- Total,Nature Reserve,180
2015,Total,0 - 4,Bukit Panjang- Total,Saujana,1600
2015,Total,0 - 4,Bukit Panjang- Total,Senja,1560
2015,Total,0 - 4,Bukit Timah- Total,Anak Bukit,720
2015,Total,0 - 4,Bukit Timah- Total,Coronation Road,310
2015,Total,0 - 4,Bukit Timah- Total,Farrer Court,240
2015,Total,0 - 4,Bukit Timah- Total,Hillcrest,410
2015,Total,0 - 4,Bukit Timah- Total,Holland Road,510
2015,Total,0 - 4,Bukit Timah- Total,Leedon Park,290
2015,Total,0 - 4,Bukit Timah- Total,Swiss Club,220
2015,Total,0 - 4,Bukit Timah- Total,Ulu Pandan,430
2015,Total,0 - 4,Changi- Total,Changi Point,20
2015,Total,0 - 4,Changi- Total,Changi West,160
2015,Total,0 - 4,Choa Chu Kang- Total,Choa Chu Kang Central,820
2015,Total,0 - 4,Choa Chu Kang- Total,Choa Chu Kang North,1150
2015,Total,0 - 4,Choa Chu Kang- Total,Keat Hong,520
2015,Total,0 - 4,Choa Chu Kang- Total,Peng Siang,1470
2015,Total,0 - 4,Choa Chu Kang- Total,Teck Whye,1040
2015,Total,0 - 4,Choa Chu Kang- Total,Yew Tee,2170
2015,Total,0 - 4,Clementi- Total,Clementi Central,560
2015,Total,0 - 4,Clementi- Total,Clementi North,1080
2015,Total,0 - 4,Clementi- Total,Clementi West,690
2015,Total,0 - 4,Clementi- Total,Clementi Woods,830
2015,Total,0 - 4,Clementi- Total,Faber,170
2015,Total,0 - 4,Clementi- Total,Sunset Way,220
2015,Total,0 - 4,Clementi- Total,West Coast,360
2015,Total,0 - 4,Downtown Core- Total,Bugis,60
2015,Total,0 - 4,Downtown Core- Total,Cecil,10
2015,Total,0 - 4,Downtown Core- Total,Central Subzone,30
2015,Total,0 - 4,Downtown Core- Total,Tanjong Pagar,10
2015,Total,0 - 4,Geylang- Total,Aljunied,1530
2015,Total,0 - 4,Geylang- Total,Geylang East,1490
2015,Total,0 - 4,Geylang- Total,Kampong Ubi,480
2015,Total,0 - 4,Geylang- Total,Macpherson,980
2015,Total,0 - 4,Hougang- Total,Hougang Central,140
2015,Total,0 - 4,Hougang- Total,Hougang East,1010
2015,Total,0 - 4,Hougang- Total,Hougang West,1640
2015,Total,0 - 4,Hougang- Total,Kangkar,1040
2015,Total,0 - 4,Hougang- Total,Kovan,970
2015,Total,0 - 4,Hougang- Total,Lorong Ah Soo,1170
2015,Total,0 - 4,Hougang- Total,Tai Seng,560
2015,Total,0 - 4,Hougang- Total,Trafalgar,1870
2015,Total,0 - 4,Jurong East- Total,Lakeside,30
2015,Total,0 - 4,Jurong East- Total,Teban Gardens,880
2015,Total,0 - 4,Jurong East- Total,Toh Guan,640
2015,Total,0 - 4,Jurong East- Total,Yuhua East,970
2015,Total,0 - 4,Jurong East- Total,Yuhua West,780
2015,Total,0 - 4,Jurong West- Total,Boon Lay Place,1930
2015,Total,0 - 4,Jurong West- Total,Hong Kah,2120
2015,Total,0 - 4,Jurong West- Total,Jurong West Central,4170
2015,Total,0 - 4,Jurong West- Total,Taman Jurong,1890
2015,Total,0 - 4,Jurong West- Total,Wenya,700
2015,Total,0 - 4,Jurong West- Total,Yunnan,2780
2015,Total,0 - 4,Kallang- Total,Bendemeer,1660
2015,Total,0 - 4,Kallang- Total,Boon Keng,480
2015,Total,0 - 4,Kallang- Total,Crawford,300
2015,Total,0 - 4,Kallang- Total,Geylang Bahru,400
2015,Total,0 - 4,Kallang- Total,Kampong Bugis,40
2015,Total,0 - 4,Kallang- Total,Kampong Java,460
2015,Total,0 - 4,Kallang- Total,Lavender,420
2015,Total,0 - 4,Kallang- Total,Tanjong Rhu,590
2015,Total,0 - 4,Mandai- Total,Mandai Estate,90
2015,Total,0 - 4,Marine Parade- Total,Katong,410
2015,Total,0 - 4,Marine Parade- Total,Marine Parade,1310
2015,Total,0 - 4,Marine Parade- Total,Mountbatten,460
2015,Total,0 - 4,Museum- Total,Dhoby Ghaut,10
2015,Total,0 - 4,Museum- Total,Fort Canning,10
2015,Total,0 - 4,Newton- Total,Cairnhill,150
2015,Total,0 - 4,Newton- Total,Goodwood Park,50
2015,Total,0 - 4,Newton- Total,Monk's Hill,30
2015,Total,0 - 4,Newton- Total,Newton Circus,20
2015,Total,0 - 4,Newton- Total,Orange Grove,60
2015,Total,0 - 4,Novena- Total,Balestier,1440
2015,Total,0 - 4,Novena- Total,Dunearn,140
2015,Total,0 - 4,Novena- Total,Malcolm,100
2015,Total,0 - 4,Novena- Total,Moulmein,560
2015,Total,0 - 4,Novena- Total,Mount Pleasant,20
2015,Total,0 - 4,Orchard- Total,Boulevard,10
2015,Total,0 - 4,Orchard- Total,Tanglin,20
2015,Total,0 - 4,Outram- Total,China Square,50
2015,Total,0 - 4,Outram- Total,Chinatown,930
2015,Total,0 - 4,Outram- Total,Pearl's Hill,300
2015,Total,0 - 4,Outram- Total,People's Park,10
2015,Total,0 - 4,Pasir Ris- Total,Flora Drive,570
2015,Total,0 - 4,Pasir Ris- Total,Loyang East,70
2015,Total,0 - 4,Pasir Ris- Total,Pasir Ris Central,1260
2015,Total,0 - 4,Pasir Ris- Total,Pasir Ris Drive,2190
2015,Total,0 - 4,Pasir Ris- Total,Pasir Ris Park,180
2015,Total,0 - 4,Pasir Ris- Total,Pasir Ris West,1480
2015,Total,0 - 4,Punggol- Total,Matilda,4310
2015,Total,0 - 4,Punggol- Total,Northshore,10
2015,Total,0 - 4,Punggol- Total,Punggol Field,2890
2015,Total,0 - 4,Punggol- Total,Punggol Town Centre,1200
2015,Total,0 - 4,Punggol- Total,Waterway East,3600
2015,Total,0 - 4,Queenstown- Total,Commonwealth,310
2015,Total,0 - 4,Queenstown- Total,Dover,670
2015,Total,0 - 4,Queenstown- Total,Ghim Moh,530
2015,Total,0 - 4,Queenstown- Total,Holland Drive,510
2015,Total,0 - 4,Queenstown- Total,Kent Ridge,30
2015,Total,0 - 4,Queenstown- Total,Margaret Drive,730
2015,Total,0 - 4,Queenstown- Total,Mei Chin,640
2015,Total,0 - 4,Queenstown- Total,National University of S'pore,10
2015,Total,0 - 4,Queenstown- Total,One North,40
2015,Total,0 - 4,Queenstown- Total,Pasir Panjang 1,200
2015,Total,0 - 4,Queenstown- Total,Pasir Panjang 2,170
2015,Total,0 - 4,Queenstown- Total,Queensway,10
2015,Total,0 - 4,Queenstown- Total,Singapore Polytechnic,20
2015,Total,0 - 4,Queenstown- Total,Tanglin Halt,580
2015,Total,0 - 4,River Valley- Total,Institution Hill,210
2015,Total,0 - 4,River Valley- Total,Leonie Hill,100
2015,Total,0 - 4,River Valley- Total,One Tree Hill,60
2015,Total,0 - 4,River Valley- Total,Oxley,50
2015,Total,0 - 4,Rochor- Total,Bencoolen,70
2015,Total,0 - 4,Rochor- Total,Farrer Park,130
2015,Total,0 - 4,Rochor- Total,Kampong Glam,10
2015,Total,0 - 4,Rochor- Total,Little India,110
2015,Total,0 - 4,Rochor- Total,Mount Emily,70
2015,Total,0 - 4,Rochor- Total,Selegie,10
2015,Total,0 - 4,Rochor- Total,Sungei Road,110
2015,Total,0 - 4,Rochor- Total,Victoria,50
2015,Total,0 - 4,Seletar- Total,Seletar,10
2015,Total,0 - 4,Sembawang- Total,Admiralty,1000
2015,Total,0 - 4,Sembawang- Total,Sembawang Central,1500
2015,Total,0 - 4,Sembawang- Total,Sembawang North,1700
2015,Total,0 - 4,Sembawang- Total,Sembawang Springs,170
2015,Total,0 - 4,Sembawang- Total,Sembawang Straits,100
2015,Total,0 - 4,Sengkang- Total,Anchorvale,3000
2015,Total,0 - 4,Sengkang- Total,Compassvale,1930
2015,Total,0 - 4,Sengkang- Total,Fernvale,4160
2015,Total,0 - 4,Sengkang- Total,Rivervale,3080
2015,Total,0 - 4,Sengkang- Total,Sengkang Town Centre,3160
2015,Total,0 - 4,Serangoon- Total,Lorong Chuan,310
2015,Total,0 - 4,Serangoon- Total,Seletar Hills,530
2015,Total,0 - 4,Serangoon- Total,Serangoon Central,880
2015,Total,0 - 4,Serangoon- Total,Serangoon Garden,1250
2015,Total,0 - 4,Serangoon- Total,Serangoon North,590
2015,Total,0 - 4,Serangoon- Total,Upper Paya Lebar,510
2015,Total,0 - 4,Singapore River- Total,Boat Quay,10
2015,Total,0 - 4,Singapore River- Total,Robertson Quay,180
2015,Total,0 - 4,Southern Islands- Total,Sentosa,90
2015,Total,0 - 4,Sungei Kadut- Total,Turf Club,30
2015,Total,0 - 4,Tampines- Total,Simei,1920
2015,Total,0 - 4,Tampines- Total,Tampines East,5820
2015,Total,0 - 4,Tampines- Total,Tampines West,3410
2015,Total,0 - 4,Tampines- Total,Xilin,70
